unit_id,name,namebase,height,radius,weight,stratum,sizeLabel,x,z
28,Plinio,Plinio,0.6807223,1.087743,0.8054205,0,L,1.062252,-34.04617
29,Josiane,Josiane,1.003168,0.7306087,0.5354799,2,M,2.270948,-33.6604
30,Gisele,Gisele,1.240634,0.6150998,0.4693913,4,M,3.643025,-34.04441
31,Aline,Aline,0.9533318,0.7416775,0.524414,2,M,5.325943,-33.30023
32,Miguel,Miguel,0.6090584,0.7922429,0.3822748,0,S,6.578333,-34.09927
33,Aleksandra,Aleksandra,0.8728124,0.7309728,0.4663623,1,M,7.873061,-33.87424
34,Artur,Artur,0.9377325,0.8716239,0.7124218,2,L,9.217118,-33.9446
35,Ticiane,Ticiane,0.6788858,0.4092354,0.1136955,0,XS,9.79478,-34.23409
36,Guido,Guido,0.7323524,0.9453074,0.6544346,0,L,11.25817,-33.26717
37,Marlene,Marlene,1.151264,0.6154245,0.4360381,3,M,12.12722,-33.4962
38,Natali,Natali,1.032308,0.5933755,0.3634699,3,S,14.23237,-33.36714
39,Jéssica,Jéssica,1.003191,1.056564,1.119889,2,XL,14.98311,-33.35256
40,Heloi,Heloi,0.9976132,0.5803347,0.3359845,2,S,15.78278,-33.48728
41,Willian,Willian,0.7482383,1.053396,0.8302771,1,L,17.78089,-33.62215
42,Miriam,Miriam,0.6769408,1.054274,0.7524157,0,L,18.97136,-33.35686
43,Alina,Alina,0.9638869,1.075191,1.114288,2,XL,19.9769,-33.37541
44,Lívia,Lívia,0.6222236,0.6515187,0.2641194,0,S,20.76652,-33.53039
45,Petra,Petra,1.29591,0.9870431,1.262546,4,XL,22.16225,-33.56404
46,Gizeli,Gizeli,0.9117369,0.4336606,0.1714626,2,XS,23.78314,-34.15662
47,Marina,Marina,0.953565,1.092943,1.139057,2,XL,25.29977,-33.7072
48,Vivian,Vivian,0.7397884,0.4301664,0.1368928,0,XS,26.48739,-33.41555
49,Caique,Caique,0.6054742,0.763082,0.3525641,0,S,27.80415,-33.9962
50,Severino,Severino,0.6029812,1.013829,0.6197733,0,L,29.12291,-33.39897
51,Victoria,Victoria,1.023933,0.5485363,0.3080933,3,S,29.73396,-33.59796
52,Erundina,Erundina,1.173616,0.4576031,0.2457559,4,XS,31.60111,-34.05112
53,Carla,Carla,1.246206,0.929722,1.077199,4,XL,32.90329,-33.5251
54,Juliete,Juliete,0.6811965,0.629712,0.2701198,0,S,33.56738,-34.11276
55,Alexa,Alexa,0.8814896,0.8750095,0.6749051,2,L,-34.12724,-32.88028
56,Marine,Marine,0.6957036,0.5085607,0.1799326,0,XS,-32.30655,-32.54984
57,Janaina,Janaina,0.7597101,0.8425655,0.5393308,1,M,-30.88323,-32.50031
58,Sandro,Sandro,1.001074,0.9291564,0.8642584,2,XL,-29.78465,-32.88616
59,Fúlvia,Fúlvia,1.279142,0.604078,0.4667722,4,M,-29.16966,-32.78874
60,Plinia,Plinia,1.188394,1.014395,1.222855,4,XL,-27.72607,-32.60269
61,George,George,0.6973591,0.8126436,0.4605288,0,M,-26.13035,-32.5638
62,Talita,Talita,0.7164732,0.3889874,0.1084104,0,XS,-24.78154,-32.339
63,Matheus,Matheus,0.7502728,0.8601727,0.5551247,1,M,-23.39832,-32.68325
64,Enedina,Enedina,1.130289,0.9223005,0.9614667,3,XL,-22.28569,-32.57294
65,Augusta,Augusta,0.978443,0.9443379,0.8725501,2,XL,-21.32612,-32.823
66,Rogério,Rogério,0.7687107,0.6330258,0.308039,1,S,-19.87408,-32.83957
67,Rodrigo,Rodrigo,0.6337057,0.9484012,0.5699959,0,M,-18.4953,-32.19522
68,Manuela,Manuela,0.786535,0.4564084,0.163842,1,XS,-17.70332,-32.47898
69,Mariane,Mariane,0.8895113,0.9023252,0.7242318,2,L,-15.76937,-32.46418
70,Alana,Alana,0.9912334,0.5652203,0.3166733,2,S,-15.21623,-32.78432
71,Janiana,Janiana,1.246797,0.5281535,0.3477892,4,S,-13.96499,-32.09394
72,Valéria,Valéria,1.23773,0.6669965,0.5506464,4,M,-12.64372,-32.78299
73,Hermeto,Hermeto,1.017837,0.850363,0.7360158,2,L,-11.07937,-32.94324
74,Zilah,Zilah,0.9200557,0.4497868,0.1861348,2,XS,-10.3437,-32.21234
75,Hélcio,Hélcio,1.282484,0.7106364,0.6476598,4,L,-8.861956,-32.62305
76,Guilherme,Guilherme,0.7804479,1.03785,0.8406461,1,L,-7.605481,-32.89145
77,Eliane,Eliane,0.8591604,0.6180691,0.3282073,1,S,-5.846842,-32.9679
78,Maria,Maria,1.140794,0.508508,0.294987,3,S,-4.631843,-32.71662
79,Elias,Elias,0.9500209,0.5299093,0.2667695,2,S,-3.996996,-32.96475
80,Vitoria,Vitoria,0.6464872,0.8982995,0.5216777,0,M,-2.750608,-32.35046
81,Augusto,Augusto,0.9032133,0.7671378,0.5315413,2,M,-1.542135,-32.3868
82,Daniel,Daniel,0.9048468,0.5527402,0.2764504,2,S,-0.436199,-32.68334
83,Joana,Joana,0.9984092,0.5189402,0.2688705,2,S,1.310848,-32.90031
84,Daniela,Daniela,1.208444,1.032917,1.28931,4,XL,2.957892,-32.98969
85,Andrea,Andrea,1.167874,0.5070525,0.3002632,4,S,3.785827,-32.41961
86,Teresa,Teresa,0.9468137,0.6134101,0.3562594,2,S,4.944446,-32.58157
87,Patricia,Patricia,1.149587,0.6588162,0.4989655,3,M,6.30673,-32.75098
88,Edivaldo,Edivaldo,1.190746,0.4671554,0.2598614,4,S,7.72125,-32.74488
89,Diego,Diego,0.7468774,0.9117195,0.6208287,1,L,9.193782,-32.27991
90,Paula,Paula,1.094071,0.9425526,0.9719785,3,XL,10.17306,-32.86969
91,Brivaldo,Brivaldo,0.7867954,0.8022776,0.5064204,1,M,11.21295,-32.42041
92,Alexandre,Alexandre,1.032345,0.9332979,0.8992187,3,XL,12.41418,-32.4068
93,Fúlvio,Fúlvio,0.7752207,0.554736,0.2385603,1,XS,13.474,-32.11005
94,Marcela,Marcela,0.7288237,0.8616811,0.5411474,0,M,14.6541,-32.89102
95,Amaury,Amaury,0.6652721,0.9483953,0.5983813,0,M,16.57807,-32.95175
96,Sandra,Sandra,1.078231,0.9666458,1.007503,3,XL,17.47274,-32.55189
97,Eliana,Eliana,0.9302061,0.600126,0.3350149,2,S,19.13986,-32.86929
98,Tito,Tito,1.274132,0.5512164,0.3871318,4,S,19.8045,-32.97007
99,Rogéria,Rogéria,0.9523833,0.6719704,0.4300432,2,M,21.06354,-32.09105
100,Thaysa,Thaysa,1.202863,1.002696,1.209357,4,XL,22.80079,-32.98335
101,Bruno,Bruno,1.281148,1.073741,1.477061,4,XL,24.2487,-32.39877
102,Paulino,Paulino,1.227936,0.9785369,1.175791,4,XL,24.57108,-32.45918
103,Arthur,Arthur,1.009082,0.9810568,0.9712136,2,XL,26.37685,-32.08362
104,Lilian,Lilian,1.267276,0.8298606,0.8727331,4,XL,27.44713,-32.54794
105,Leilani,Leilani,0.6796303,0.3906853,0.1037354,0,XS,28.35787,-32.6881
106,Adriana,Adriana,1.215024,0.5840976,0.4145299,4,S,30.13016,-32.98748
107,Maria,Maria,1.256733,0.519731,0.339469,4,S,31.13654,-32.22148
108,Ticiana,Ticiana,0.8488229,0.5565044,0.262878,1,S,32.24775,-32.77161
109,Diogo,Diogo,1.292052,0.9642195,1.201246,4,XL,33.32518,-32.28034
110,Liliane,Liliane,1.17126,1.007484,1.188857,4,XL,-33.69894,-31.10958
111,Nicole,Nicole,0.764253,0.6313084,0.3045933,1,S,-32.4537,-31.62176
112,Rafaela,Rafaela,1.027668,0.6594472,0.4469028,3,M,-31.67332,-30.8714
113,Heloá,Heloá,1.270872,1.000262,1.271539,4,XL,-29.70481,-30.90361
114,Mateus,Mateus,1.129891,0.7319984,0.6054204,3,M,-29.11195,-31.0604
115,Eduarda,Eduarda,0.8333619,1.090053,0.9902142,1,XL,-27.33696,-31.04702
116,Everton,Everton,0.9113303,0.5906462,0.3179294,2,S,-26.56464,-31.41074
117,Sara,Sara,1.010937,0.6668876,0.4496032,2,M,-24.57227,-31.60816
118,Raphael,Raphael,0.9847372,0.9037772,0.8043464,2,L,-23.61402,-31.50775
119,Iona,Iona,0.9246503,0.7165608,0.4747703,2,M,-22.92274,-31.22043
120,João,João,1.116015,0.7413751,0.6134032,3,M,-21.34844,-31.19993
121,William,William,0.6821771,0.7457206,0.3793581,0,S,-19.67987,-31.25601
122,Davi,Davi,0.9149657,0.6689763,0.409474,2,S,-18.7786,-31.25024
123,Giselle,Giselle,1.071357,0.6576191,0.4633219,3,M,-17.61372,-30.9201
124,Sheila,Sheila,0.7459235,0.9906129,0.731985,1,L,-16.55434,-30.80792
125,Juliene,Juliene,0.7145742,0.5290735,0.2000227,0,XS,-14.95881,-31.5375
126,Nivaldo,Nivaldo,0.9222724,1.053084,1.022788,2,XL,-13.92103,-31.51908
127,Vitória,Vitória,0.7578479,0.7781182,0.4588526,1,M,-12.61739,-31.46046
128,Mauricio,Mauricio,0.8881402,0.8181074,0.594432,2,M,-10.79756,-30.91854
129,Giselle,Giselle,1.009238,0.4613419,0.2148024,2,XS,-9.914414,-30.81319
130,Ana,Ana,0.9307035,0.877791,0.7171229,2,L,-8.360693,-31.5643
131,Anderson,Anderson,1.248936,0.6881402,0.5914174,4,M,-7.531531,-31.58596
132,Zilá,Zilá,0.8388297,0.960376,0.7736711,1,L,-6.71621,-31.13429
133,Joaquim,Joaquim,0.7902469,0.4773259,0.1800499,1,XS,-5.13411,-31.21988
134,Tania,Tania,1.272502,0.5161231,0.338973,4,S,-4.16032,-31.56744
135,Caetano,Caetano,0.72528,0.8042313,0.4691024,0,M,-2.731511,-30.85299
136,José,José,0.6131248,0.5109398,0.160062,0,XS,-1.661869,-31.68512
137,Nicoli,Nicoli,0.9032025,0.7794695,0.5487612,2,M,-0.2547245,-31.65451
138,Julieta,Julieta,0.7837415,0.5663733,0.2514077,1,XS,1.219649,-31.2777
139,Guilhermina,Guilhermina,0.8224179,0.6359567,0.3326194,1,S,2.285448,-31.71758
140,Leona,Leona,0.9264594,0.4987506,0.2304588,2,XS,4.139735,-31.33058
141,Rômulo,Rômulo,0.9634064,0.9321634,0.8371313,2,L,4.517761,-31.47355
142,Victória,Victória,0.7698151,0.6840687,0.360235,1,S,6.620747,-31.35443
143,Uiara,Uiara,0.6163067,0.6701812,0.2768097,0,S,7.757841,-30.86678
144,Matias,Matias,0.8960213,1.094454,1.073281,2,XL,8.416947,-31.00481
145,Etelvino,Etelvino,0.8378893,0.6705812,0.3767813,1,S,10.2309,-30.96363
146,Elivelton,Elivelton,0.9925615,1.055578,1.105956,2,XL,11.10322,-31.73707
147,Mathias,Mathias,1.065868,1.023384,1.116299,3,XL,12.21238,-31.14478
148,Juliana,Juliana,1.232528,0.4212291,0.2186924,4,XS,13.96619,-31.73596
149,Sheyla,Sheyla,1.089632,0.9913301,1.07082,3,XL,14.87786,-31.49814
150,André,André,0.71487,0.9644071,0.6648871,0,L,16.57229,-31.73917
151,Alexandra,Alexandra,1.07885,0.9917912,1.061211,3,XL,17.07219,-30.89054
152,Thereza,Thereza,0.9507076,0.8022265,0.6118443,2,M,18.29941,-31.42456
153,Gabriel,Gabriel,0.7319838,0.7689847,0.4328494,0,M,20.19258,-31.68721
154,Otaviana,Otaviana,0.9038247,0.4544255,0.1866421,2,XS,21.60862,-31.16915
155,Janice,Janice,0.8895682,0.3834786,0.1308162,2,XS,22.61093,-31.401
156,Nataly,Nataly,0.7469578,0.5711778,0.2436906,1,XS,23.74195,-30.78397
157,David,David,1.080791,0.9155367,0.9059269,3,XL,24.68375,-31.17618
158,Mariana,Mariana,1.030108,1.038865,1.111735,3,XL,26.33109,-31.22183
159,André,André,1.006906,0.8984485,0.812784,2,L,27.10229,-31.03891
160,Amanda,Amanda,1.206277,0.7355117,0.652569,4,L,28.76192,-31.6709
161,Graciane,Graciane,1.190922,1.018594,1.235622,4,XL,29.91667,-31.38664
162,Juliane,Juliane,0.8552814,0.8504478,0.6185921,1,L,31.33001,-31.15389
163,Paulina,Paulina,1.293317,0.9538457,1.176687,4,XL,32.83819,-31.59073
164,Eloá,Eloá,0.7405237,0.7207664,0.3847051,1,S,34.05089,-31.33145
165,Laís,Laís,0.8504297,0.4564348,0.1771723,1,XS,-34.07738,-29.74279
166,Adriane,Adriane,0.8818738,0.7224287,0.4602529,2,M,-32.289,-30.22654
167,Júlia #2,Júlia,1.271415,0.498375,0.3157911,4,S,-31.26851,-29.78603
168,Adalberto #2,Adalberto,0.6007519,0.4862179,0.1420224,0,XS,-29.78526,-29.5801
169,Elton #2,Elton,0.9450389,0.7629166,0.550052,2,M,-28.74517,-30.177
170,Eloah #2,Eloah,1.194196,0.4725902,0.2667135,4,S,-27.39865,-30.46656
171,Lucas #2,Lucas,0.7146574,0.8031027,0.4609354,0,M,-26.16663,-29.68257
172,Nathaly #2,Nathaly,0.6538324,0.6837124,0.3056422,0,S,-25.17258,-30.39199
173,Eduardo #2,Eduardo,1.243425,0.8722982,0.9461269,4,XL,-23.89666,-29.74005
174,Marta #2,Marta,0.8248062,0.9233903,0.7032707,1,L,-22.32358,-30.13142
175,Breno #2,Breno,0.7231537,0.4831159,0.1687848,0,XS,-21.34581,-30.29972
176,Otaviano #2,Otaviano,0.7203355,1.003546,0.7254537,0,L,-19.90497,-29.65707
177,Adelaide #2,Adelaide,0.6575885,1.041165,0.7128424,0,L,-18.58364,-29.83108
178,Marcel #2,Marcel,1.27792,0.7240774,0.6699982,4,L,-17.4303,-30.27084
179,Roger #2,Roger,0.9533701,0.4802027,0.219842,2,XS,-16.15659,-29.68497
180,Mário #2,Mário,1.224561,1.02337,1.282466,4,XL,-15.30345,-29.96266
181,Michele #2,Michele,1.185895,0.6489089,0.4993598,4,M,-13.45521,-30.18267
182,Gustavo #2,Gustavo,1.155933,1.067447,1.317119,3,XL,-12.40125,-29.7618
183,Jaime #2,Jaime,1.198784,0.4780999,0.2740175,4,S,-11.60293,-29.79436
184,Rafael #2,Rafael,1.107085,0.6687682,0.4951446,3,M,-9.638464,-30.20224
185,Eloi #2,Eloi,1.294827,0.9131153,1.0796,4,XL,-8.514836,-30.34138
186,Vinicius #2,Vinicius,1.128827,0.8541183,0.8234995,3,L,-7.86045,-30.05871
187,Jozé #2,Jozé,0.6798359,0.4694069,0.149797,0,XS,-6.494863,-30.31802
188,Adriano #2,Adriano,0.7129065,1.0002,0.7131914,0,L,-5.02365,-30.21764
189,Carlito #2,Carlito,1.262664,1.004131,1.273117,4,XL,-3.886714,-29.70158
190,Marcelo #2,Marcelo,0.6498727,0.5799478,0.2185778,0,XS,-2.951262,-30.37252
191,Martha #2,Martha,0.823674,1.048269,0.9051096,1,XL,-0.936486,-29.66779
192,Bernardo #2,Bernardo,0.8315707,1.002125,0.8351079,1,L,0.0047524,-30.39625
193,Gabriela #2,Gabriela,0.7943439,0.592871,0.2792087,1,S,1.572424,-30.34821
194,Marianne #2,Marianne,0.7108843,0.4073137,0.1179389,0,XS,2.781875,-30.3215
195,Plinio #2,Plinio,0.7637541,0.634518,0.3074974,1,S,3.453275,-29.82999
196,Josiane #2,Josiane,1.089755,0.680074,0.5040126,3,M,5.076909,-29.50598
197,Gisele #2,Gisele,1.06193,1.002588,1.067434,3,XL,6.508972,-29.64244
198,Aline #2,Aline,0.626447,0.4254413,0.1133871,0,XS,7.226513,-29.7851
199,Miguel #2,Miguel,1.08419,0.8175306,0.7246251,3,L,9.089084,-29.67269
200,Aleksandra #2,Aleksandra,1.191489,0.6012868,0.4307777,4,M,9.610477,-30.25001
201,Artur #2,Artur,1.033597,0.4890003,0.247155,3,XS,11.65435,-29.63436
202,Ticiane #2,Ticiane,0.6272753,0.6136814,0.236235,0,XS,12.12396,-29.59127
203,Guido #2,Guido,0.6594812,0.5130493,0.1735884,0,XS,13.81449,-29.78225
204,Marlene #2,Marlene,0.652101,0.6526822,0.2777911,0,S,14.92783,-29.59723
205,Natali #2,Natali,0.84587,0.9700379,0.7959412,1,L,15.92231,-30.03389
206,Jéssica #2,Jéssica,0.6735629,0.8459797,0.4820566,0,M,17.06597,-30.28548
207,Heloi #2,Heloi,0.6483989,0.4574133,0.1356625,0,XS,18.71009,-29.94928
208,Willian #2,Willian,0.7391962,1.067284,0.842014,0,L,19.83351,-29.57341
209,Miriam #2,Miriam,0.7701138,1.066366,0.8757241,1,XL,20.80059,-29.95174
210,Alina #2,Alina,0.9586956,0.8921132,0.7629932,2,L,22.95505,-30.16466
211,Lívia #2,Lívia,1.118523,0.9921764,1.10109,3,XL,24.02258,-29.64701
212,Petra #2,Petra,0.9490369,0.7463096,0.5285928,2,M,25.14048,-30.18703
213,Gizeli #2,Gizeli,0.7258951,1.05415,0.8066376,0,L,26.22607,-30.47451
214,Marina #2,Marina,0.6945251,0.843945,0.4946707,0,M,27.1449,-29.52777
215,Vivian #2,Vivian,0.6597962,0.8766748,0.5070921,0,M,29.0465,-29.56855
216,Caique #2,Caique,1.205125,0.792728,0.7573221,4,L,30.20988,-30.36959
217,Severino #2,Severino,1.195896,0.839286,0.8423899,4,L,31.22473,-30.37886
218,Victoria #2,Victoria,0.8296953,1.013291,0.851896,1,L,32.39034,-29.86003
219,Erundina #2,Erundina,1.205111,0.9826144,1.163572,4,XL,33.97536,-30.24516
220,Carla #2,Carla,1.212226,0.5333424,0.3448226,4,S,-33.5341,-28.68962
221,Juliete #2,Juliete,0.9269301,0.4859252,0.2188698,2,XS,-32.62912,-28.98747
222,Alexa #2,Alexa,0.9349417,0.6017778,0.3385765,2,S,-30.95844,-28.65135
223,Marine #2,Marine,1.16587,0.4364187,0.2220532,4,XS,-30.03716,-28.4274
224,Janaina #2,Janaina,1.240338,0.3969963,0.1954848,4,XS,-28.77912,-29.08249
225,Sandro #2,Sandro,0.6982589,0.8423644,0.4954689,0,M,-27.99829,-28.38927
226,Fúlvia #2,Fúlvia,0.6238235,0.7539186,0.3545771,0,S,-25.76516,-28.94972
227,Plinia #2,Plinia,0.9821836,0.9819903,0.9471245,2,XL,-25.33896,-28.95193
228,George #2,George,1.243304,1.020839,1.295663,4,XL,-24.15238,-28.37755
229,Talita #2,Talita,1.28175,0.5500075,0.38774,4,S,-22.5356,-28.53265
230,Matheus #2,Matheus,0.7416511,0.7020867,0.3655789,1,S,-21.09808,-28.70675
231,Enedina #2,Enedina,1.192439,1.010776,1.218278,4,XL,-20.18724,-29.00022
232,Augusta #2,Augusta,0.8917124,0.7887774,0.5547964,2,M,-18.52479,-28.40916
233,Rogério #2,Rogério,0.8562607,0.7816505,0.523156,1,M,-17.88552,-29.01756
234,Rodrigo #2,Rodrigo,0.747885,0.9957225,0.7415006,1,L,-16.22366,-28.30229
235,Manuela #2,Manuela,0.7135962,0.4308281,0.1324526,0,XS,-14.78344,-28.60761
236,Mariane #2,Mariane,0.702888,0.7353089,0.3800369,0,S,-13.57035,-28.33167
237,Alana #2,Alana,1.286517,0.8050812,0.8338631,4,L,-12.15133,-28.57135
238,Janiana #2,Janiana,0.9914418,0.9225424,0.8438008,2,L,-10.78484,-28.55697
239,Valéria #2,Valéria,1.293174,0.7100887,0.6520519,4,L,-10.48561,-29.09204
240,Hermeto #2,Hermeto,0.7446015,0.9092442,0.6155807,1,L,-8.366452,-28.27177
241,Zilah #2,Zilah,0.6776244,0.6105462,0.2525958,0,XS,-7.068016,-28.88884
242,Hélcio #2,Hélcio,1.142906,1.002933,1.14962,3,XL,-6.088817,-29.13124
243,Guilherme #2,Guilherme,1.096844,0.752018,0.6202993,3,L,-4.944933,-29.11824
244,Eliane #2,Eliane,1.111551,0.3868644,0.1663592,3,XS,-3.853728,-28.89714
245,Maria #2,Maria,0.7375029,0.6639869,0.3251492,0,S,-2.730961,-28.42366
246,Elias #2,Elias,1.103355,0.4135221,0.1886743,3,XS,-1.468364,-28.63744
247,Vitoria #2,Vitoria,1.014885,0.6834426,0.4740463,2,M,-0.2578122,-28.49719
248,Augusto #2,Augusto,1.188549,0.6452401,0.4948344,4,M,1.491138,-28.82278
249,Daniel #2,Daniel,0.7309325,0.9115947,0.6074085,0,M,2.531498,-28.42322
250,Joana #2,Joana,0.99305,0.609311,0.3686796,2,S,3.392752,-29.13445
251,Daniela #2,Daniela,1.250445,0.9055341,1.025355,4,XL,5.46887,-29.20749
252,Andrea #2,Andrea,0.7389252,0.9800417,0.7097242,0,L,6.712241,-28.26929
253,Teresa #2,Teresa,0.6435292,0.8563008,0.4718685,0,M,7.961523,-28.43785
254,Patricia #2,Patricia,0.9262159,0.4211888,0.1643107,2,XS,8.509151,-29.18567
255,Edivaldo #2,Edivaldo,0.6269968,0.6099888,0.233297,0,XS,10.26847,-28.89587
256,Diego #2,Diego,1.036098,1.03403,1.107816,3,XL,11.02797,-28.90861
257,Paula #2,Paula,1.142887,0.4720503,0.2546713,3,XS,12.94472,-28.25754
258,Brivaldo #2,Brivaldo,0.9346248,0.7900344,0.5833501,2,M,14.04136,-28.37206
259,Alexandre #2,Alexandre,0.7761719,0.4905097,0.1867467,1,XS,15.39713,-28.26083
260,Fúlvio #2,Fúlvio,0.6543819,0.5521701,0.1995157,0,XS,16.16409,-28.4907
261,Marcela #2,Marcela,0.9214452,0.5682609,0.2975535,2,S,17.69062,-29.07074
262,Amaury #2,Amaury,0.8848065,1.048873,0.973407,2,XL,19.2112,-29.12016
263,Sandra #2,Sandra,0.9354223,0.7163588,0.4800306,2,M,20.28821,-29.00793
264,Eliana #2,Eliana,0.9850152,0.9478069,0.8848764,2,XL,21.24256,-29.22917
265,Tito #2,Tito,0.9163539,0.831787,0.6339974,2,L,22.26696,-29.17938
266,Rogéria #2,Rogéria,1.222071,1.078242,1.420786,4,XL,23.75268,-28.75731
267,Thaysa #2,Thaysa,1.209121,0.4401758,0.2342728,4,XS,25.06047,-28.93746
268,Bruno #2,Bruno,0.7120507,0.5743861,0.2349193,0,XS,26.73664,-28.45056
269,Paulino #2,Paulino,1.233736,0.3865985,0.1843923,4,XS,27.89492,-28.88848
270,Arthur #2,Arthur,0.7524267,0.4510775,0.153097,1,XS,29.18452,-28.40344
271,Lilian #2,Lilian,0.7166561,0.9667122,0.6697384,0,L,30.01329,-29.23913
272,Leilani #2,Leilani,1.146895,0.7754856,0.6897177,3,L,31.07792,-28.78695
273,Adriana #2,Adriana,1.062651,1.010938,1.086025,3,XL,32.53724,-28.79979
274,Maria #2,Maria,1.280517,0.6273014,0.5038925,4,M,34.12063,-28.76057
275,Ticiana #2,Ticiana,1.131156,0.5225101,0.3088246,3,S,-33.94092,-27.67671
276,Diogo #2,Diogo,0.8579623,0.8470345,0.6155599,1,L,-32.03023,-27.79081
277,Liliane #2,Liliane,0.9363638,1.091915,1.116407,2,XL,-31.41327,-27.45914
278,Nicole #2,Nicole,1.225588,0.4743428,0.2757586,4,S,-29.69692,-27.64678
279,Rafaela #2,Rafaela,1.085072,0.6826843,0.5057064,3,M,-28.34604,-27.9262
280,Heloá #2,Heloá,0.9195458,0.7341021,0.4955487,2,M,-27.28859,-27.67911
281,Mateus #2,Mateus,1.128958,0.4501422,0.2287585,3,XS,-26.09839,-27.71623
282,Eduarda #2,Eduarda,1.112921,0.7662359,0.6534154,3,L,-24.67273,-27.43814
283,Everton #2,Everton,0.6969759,0.6719574,0.3147033,0,S,-23.64727,-27.98018
284,Sara #2,Sara,1.152745,0.8200877,0.7752715,3,L,-22.52196,-27.48201
285,Raphael #2,Raphael,1.191577,0.5989461,0.4274622,4,M,-21.21965,-27.20749
286,Iona #2,Iona,0.7487866,0.9466879,0.6710759,1,L,-19.93064,-27.4701
287,João #2,João,0.6512565,0.5124952,0.1710534,0,XS,-18.49275,-27.44823
288,William #2,William,0.9076561,0.953719,0.8255858,2,L,-17.96707,-27.73301
289,Davi #2,Davi,0.9405622,1.091502,1.120563,2,XL,-16.18237,-27.7289
290,Giselle #2,Giselle,1.297936,0.8739181,0.9912766,4,XL,-15.02355,-27.05592
291,Sheila #2,Sheila,0.7130479,0.9379062,0.6272454,0,L,-13.84768,-27.5118
292,Juliene #2,Juliene,0.9698116,0.9439452,0.8641338,2,XL,-12.43642,-27.91827
293,Nivaldo #2,Nivaldo,1.259645,0.6579003,0.5452156,4,M,-11.52132,-27.8476
294,Vitória #2,Vitória,1.273021,1.041612,1.38117,4,XL,-10.39167,-27.03141
295,Mauricio #2,Mauricio,0.969644,0.4676304,0.21204,2,XS,-9.039454,-27.45128
296,Giselle #2,Giselle,1.145435,0.5783611,0.3831497,3,S,-7.877645,-27.65829
297,Ana #2,Ana,0.8607941,0.6217353,0.332744,1,S,-6.216696,-27.19856
298,Anderson #2,Anderson,0.6305186,0.529002,0.1764463,0,XS,-4.979059,-27.84089
299,Zilá #2,Zilá,1.179349,0.8021142,0.7587783,4,L,-3.618989,-27.56232
300,Joaquim #2,Joaquim,0.8693225,0.4384328,0.1671041,1,XS,-2.998404,-27.71003
301,Tania #2,Tania,1.034309,0.8663738,0.7763558,3,L,-1.140577,-27.94646
302,Caetano #2,Caetano,0.997703,1.013983,1.025799,2,XL,-0.1944719,-27.43239
303,José #2,José,1.215904,0.8113142,0.8003452,4,L,1.493035,-27.12466
